iteration,method,prediction,true_value,squared_error
0,linear,4.0,,
0,rf,11.0,,
0,xgb,11.841019630432127,,
1,linear,9.0,,
1,rf,11.0,,
1,xgb,11.771688461303713,,
2,linear,10.0,,
2,rf,12.0,,
2,xgb,14.131400108337402,,
3,linear,10.0,,
3,rf,12.0,,
3,xgb,14.95766258239746,,
4,linear,6.0,,
4,rf,13.0,,
4,xgb,16.314722061157227,,
5,linear,8.0,,
5,rf,13.0,,
5,xgb,17.59927749633789,,
6,linear,1.0,,
6,rf,1.0,,
6,xgb,1.0,,
7,linear,2.0,,
7,rf,2.0,,
7,xgb,2.0,,
8,linear,1.0,,
8,rf,4.0,,
8,xgb,3.009223222732544,,
9,linear,4.0,,
9,rf,5.0,,
9,xgb,5.60412073135376,,
10,linear,5.0,,
10,rf,6.0,,
10,xgb,6.83051872253418,,
11,linear,4.0,,
11,rf,7.0,,
11,xgb,8.167712211608887,,
12,linear,7.0,,
12,rf,8.0,,
12,xgb,10.395400047302246,,
13,linear,7.0,,
13,rf,8.0,,
13,xgb,8.567680358886719,,
14,linear,10.0,,
14,rf,11.0,,
14,xgb,11.22752571105957,,
